abide,abode,abode,respecter/se conformer à;
arise,arose,arisen,survenir;
awake,awoke,awoken,se réveiller;
be,was/were,been,être;
beat,beat,beaten,battre
become,became,become,devenir
begin,began,begun,commencer
bend,bent,bent,plier/se courber
bet,bet,bet,parier
bid,bid/bade,bid/bidden,offrir
bite,bit,bitten,mordre
bleed,bled,bled,saigner
blow,blew,blown,souffler/gonfler
break,broke,broken,casser
breed,bred,bred,élever (des animaux)
bring,brought,brought,apporter
broadcast,broadcast,broadcast,diffuser/émettre
build,built,built,construire
burst,burst,burst,éclater
buy,bought,bought,acheter
can,could,could,pouvoir
cast,cast,cast,jeter/distribuer (rôles)
catch,caught,caught,attraper
chide,chid/chode,chid/chidden,gronder
choose,chose,chosen,choisir
cling,clung,clung,s'accrocher
come,came,come,venir
cost,cost,cost,coûter
creep,crept,crept,ramper
cut,cut,cut,couper
deal,dealt,dealt,distribuer
dig,dug,dug,creuser
dive,dived,dived/dove,plonger
do,did,done,faire
draw,drew,drawn,dessiner / tirer
drink,drank,drunk,boire
drive,drove,driven,conduire
eat,ate,eaten,manger
fall,fell,fallen,tomber
feed,fed,fed,nourrir
feel,felt,felt,se sentir/ressentir
fight,fought,fought,se battre
find,found,found,trouver
flee,fled,fled,s'enfuir
fling,flung,flung,lancer
fly,flew,flown,voler
forbid,forbade,forbidden,interdire
forecast,forecast,forecast,prévoir
foresee,foresaw,foreseen,prévoir/presentir
forgive,forgave,forgiven,pardonner
forsake,forsook,forsaken,abandonner
freeze,froze,frozen,geler
give,gave,given,donner
go,went,gone,aller
grind,ground,ground,moudre/opprimer
grow,grew,grown,grandir/pousser
hang,hung,hung,tenir/pendre
have,had,had,avoir
hear,heard,heard,entendre
hide,hid,hidden,cacher
hit,hit,hit,taper/appuyer
hold,held,held,tenir
hurt,hurt,hurt,blesser
keep,kept,kept,garder
know,knew,known,connaître/savoir
lay,laid,laid,poser
lead,led,led,mener/guider
learn,learnt,learnt,apprendre
leave,left,left,laisser/quitter/partir
lend,lent,lent,prêter
let,let,let,permettre/louer
lie,lay,lain,s'allonger
lose,lost,lost,perdre
make,made,made,fabriquer
mean,meant,meant,signifier
meet,met,met,rencontrer
offset,offset,offset,compenser
overcome,overcame,overcome,surmonter
partake,partook,partaken,prendre part à
pay,paid,paid,payer
preset,preset,preset,programmer
put,put,put,mettre
quit,quit,quit,quitter
read,read,read,lire
relay,relaid,relaid,relayer
rend,rent,rent,déchirer
rid,rid,rid,débarrasser
ride,rode,ridden,monter (vélo, cheval)
ring,rang,rung,sonner/téléphoner
rise,rose,risen,lever
run,ran,run,courir
say,said,said,dire
see,saw,seen,voir
seek,sought,sought,chercher
sell,sold,sold,vendre
send,sent,sent,envoyer
set,set,set,fixer
shake,shook,shaken,secouer
shed,shed,shed,répandre/laisser tomber
shine,shone,shone,briller
shoe,shod,shod,chausser
shoot,shot,shot,tirer/fusiller
show,showed,shown,montrer
shut,shut,shut,fermer
sing,sang,sung,chanter
sit,sat,sat,s'asseoir
slay,slew,slain,tuer
sleep,slept,slept,dormir
slide,slid,slid,glisser
slit,slit,slit,fendre
smell,smelt,smelt,sentir
speak,spoke,spoken,parler
speed,sped,sped,aller vite
spell,spelt,spelt,épeler/orthographier
spend,spent,spent,dépenser/passer du temps
spin,spun,spun,tourner/faire tourner
split,split,split,fendre
spoil,spoilt,spoilt,gâcher/gâter
spread,spread,spread,répandre
spring,sprang,sprung,surgir/jaillir/bondir
stand,stood,stood,être debout
steal,stole,stolen,voler/dérober
stick,stuck,stuck,coller
sting,stung,stung,piquer
stink,stank,stunk,puer
strew,strewed,strewn/strewed,éparpiller
strike,struck,stricken/struck,frapper
strive,strove,striven,s'efforcer
swear,swore,sworn,jurer
sweep,swept,swept,balayer
swell,swelled,swollen/swelled,gonfler/enfler
swim,swam,swum,nager
swing,swung,swung,se balancer
take,took,taken,prendre
teach,taught,taught,enseigner
tear,tore,torn,déchirer
tell,told,told,dire/raconter
think,thought,thought,penser
throw,threw,thrown,jeter
thrust,thrust,thrust,enfoncer
tread,trod,trodden,piétiner quelque chose
typeset,typeset,typeset,composer
undergo,underwent,undergone,subir
understand,understood,understood,comprendre
wake,woke,woken,réveiller
wear,wore,worn,porter (avoir sur soi)
weep,wept,wept,pleurer
win,won,won,gagner
wind,wound,wound,enrouler/remonter
withdraw,withdrew,withdrawn,se retirer
wring,wrung,wrung,tordre
write,wrote,written,écrire
